Date,Event,Location,Url,Information
"Jan 1, 2016 - Dec 31, 2022",Alpha Court,Alpha Court- 221 Wilson Street - Thunder Bay,https://volunteerthunderbay.com/events/alpha-court/,services to individuals with a serious mental illness and/or a drug/alcohol addiction
"Jan 1, 2016 - Dec 31, 2022",Alzheimer Society,"Alzheimer Society- 180 Park Avenue, Suite 310 - Thunder Bay",https://volunteerthunderbay.com/events/alzheimer-society/,Provide services to those affected by dementia by volunteering with the Alzheimer Society
"Jan 1, 2016 - Dec 31, 2022",Alzheimer Society - Office Administration Volunteer,"Alzheimer Society- 180 Park Avenue, Suite 310 - Thunder Bay",https://volunteerthunderbay.com/events/alzheimer-society-office-administration-volunteer/,sitting in reception for a morning or afternoon once a week
"Aug 31, 2018 - Dec 31, 2022",Arthritis Society,Arthritis Society -1093 Barton Street - Thunder Bay,https://volunteerthunderbay.com/events/arthritis-society-in-search-of-dynamic-volunteers/,opportunities for  our volunteers  to positively impact the  lives of people  affected by  arthritis  through their contribution with us
"Jan 1, 2016 - Dec 31, 2022",Beendigen Inc.,"Beendigen Inc.- 100 Anemki Drive, Suite 103 - Thunder Bay",https://volunteerthunderbay.com/events/beendigen-inc/,"to provide safety and shelter to aboriginal women and children experiencing violence, and to facilitate the cycle of healing through the delivery of culturally appropriate programs and services to individuals and families."
"Jan 1, 2016 - Dec 31, 2022",Big Brothers Big Sisters of Thunder Bay,Big Brothers Big Sisters of Thunder Bay- 704 McKenzie Street - Thunder Bay,https://volunteerthunderbay.com/events/thunder-bay-big-brother-big-sister/,"mentoring services help kids stay in school, avoid risky behaviour, and experience first-hand the importance of helping others in their community for at least a year"
"Jan 1, 2016 - Dec 31, 2022",Boys & Girls Clubs of Thunder Bay,Boys & Girls Clubs of Thunder Bay- 270 Windsor Street - Thunder Bay,https://volunteerthunderbay.com/events/boys-girls-clubs-of-thunder-bay/,Working with youth between the ages of 4 – 18 years of age.
"Jan 20, 2017 - Dec 31, 2022",Brain Injury Association of Thunder Bay & Area - Peer Support Program,"Brain Injury Association of Thunder Bay- 79 North Court Street, Suite 101 - Thunder Bay",https://volunteerthunderbay.com/events/peer-support-program/,mentors who are impacted by a brain injury to provide telephone peer support to partners who are living similar experiences
"Jan 1, 2016 - Dec 31, 2022",Camp Quality,Camp Quality-704 McKenzie Street - Thunder Bay,https://volunteerthunderbay.com/events/758/,"Volunteers who can live in, work in, and thrive in a rustic outdoor environment, promoting healthy personal interactions with campers and staff, while also being positive role models, to improve the quality of life for children with cancer"
"Jan 1, 2016 - Dec 31, 2022",Canadian Cancer Society,Canadian Cancer Society-1093 Barton Street - Thunder Bay,https://volunteerthunderbay.com/events/canadian-cancer-society-2/,"As a volunteer, we’re having more impact, against more cancers, in more communities, than any other cancer charity"
"Jan 1, 2016 - Dec 31, 2022",Canadian Cancer Society - Volunteer Drivers,Canadian Cancer Society-1093 Barton Street - Thunder Bay,https://volunteerthunderbay.com/events/canadian-cancer-society-volunteer-drivers/,Wheels of Hope volunteer drivers to drive cancer patients to their treatments and cancer-related medical appointments.
"Oct 26, 2017 - Dec 31, 2022",Canadian Cancer Society - Wig and Turban/Headscarf Washer,Canadian Cancer Society-1093 Barton Street - Thunder Bay,https://volunteerthunderbay.com/events/wig-turbanheadscarf-washer-canadian-cancer-society/,"As more and more cancer patients visit our new Wig and Turban room, the Canadian Cancer Society urgently requires more volunteers to help wash wigs, headscarves and turbans for those women who need them"
